username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-10-01 18:57;0;0;"Is the Portal gun mod just updated or is there a new feature or something?";;;;"914640471795920896";https://twitter.com/Kampftroll1/status/914640471795920896
;2017-10-01 18:57;0;0;"# DosandDontsOfAZombieApocalypse Do keep a well stocked guns & ammo supply. Don't forget to learn how to friggin shoot";;;#;"914640463034032129";https://twitter.com/mntstguy/status/914640463034032129
;2017-10-01 18:57;0;0;"This Muncie Gun Show he held at the Deleware IN County Fairgrounds and hosted by Central Gunshows of Indiana # N233-1";;;#;"914640452317573120";https://twitter.com/ZhanayaLPorter/status/914640452317573120
;2017-10-01 18:57;0;1;"Leí por ahí que el campo Vip de los Guns es más grande que el campo General. Quienes se encarguen de eso son unos hijos de puta";;;;"914640442490327042";https://twitter.com/YamiiBrandan/status/914640442490327042
;2017-10-01 18:57;0;1;"MY GUNS TURN DREADS TO PASTA";;;;"914640416275910656";https://twitter.com/unburiedchaos/status/914640416275910656
;2017-10-01 18:57;0;1;"Guns N Roses "Live From The Jungle" 12" EP with obi strip # gunsnroses";;;#;"914640409552461824";https://twitter.com/joeg_17/status/914640409552461824
;2017-10-01 18:57;0;0;"@ OldBenzDriver What did I say immediately after? They were running guns out of Benghazi... https://twitter.com/tomfitton/status/914567727267770368 …";;@;;"914640409434972160";https://twitter.com/magsinok/status/914640409434972160
;2017-10-01 18:57;0;2;"Yea I know harty. Been a long time.";;;;"914640386861277184";https://twitter.com/OpTic_DKarma/status/914640386861277184
;2017-10-01 18:57;2;6;"What about the need for common sense gun laws? That interview was nothing more than a feel good story! So many issues could have been raised";;;;"914640381660340226";https://twitter.com/Tmebwas/status/914640381660340226
;2017-10-01 18:57;0;0;"What does it mean when your farts smell like gun powder? # boomFarts";;;#;"914640378262720512";https://twitter.com/RomanCortes14/status/914640378262720512
;2017-10-01 18:57;2;1;"A8 Not well enough. If I had $, I'd be getting the preventative and maintenance healthcare I need (that isn't covered) to recharge. As it is, I take walks, stretch, see nature, chair dance. # CripTheVotehttps://twitter.com/DisVisibility/status/914639315946414080 …";;;#;"914640354112098306";https://twitter.com/may_gun/status/914640354112098306
;2017-10-01 18:57;1;2;"Does mommie know ur playing with guns?";;;;"914640350479884289";https://twitter.com/cassandradibar1/status/914640350479884289
;2017-10-01 18:57;0;0;"Be Cool - Don't Give Me No Gun Then http://fb.me/ARESpZZL";;;;"914640349540229120";https://twitter.com/JohnsonDouge/status/914640349540229120
;2017-10-01 18:57;0;1;"i mean tbh we need a bsd chekhov because come on that chekhov’s gun joke";;;;"914640332267991041";https://twitter.com/chiffonades/status/914640332267991041
;2017-10-01 18:57;0;0;"I always love how people market illegals at people Do you want some drugs like this rapper? Do you want a gun like this school shooter";;;;"914640330196242433";https://twitter.com/D_Chalx_Offical/status/914640330196242433
;2017-10-01 18:57;0;17;"学校休みなのに 早く起きてしまった";;;;"914640320825982976";https://twitter.com/Gun_9010/status/914640320825982976
;2017-10-01 18:56;0;0;"This "Ghost Gun" Machine Now Makes Untraceable Metal Handguns http://ift.tt/2yiFpkg";;;;"914640297262567424";https://twitter.com/garypinedada/status/914640297262567424
;2017-10-01 18:56;0;0;"Why didn't you ask him about gun control? He has a A+ rating from NRA.Missed opportunity?";;;;"914640289914146816";https://twitter.com/sandwishs/status/914640289914146816
;2017-10-01 18:56;0;0;"So bringing a gun to work is ok if i have my permits on order? Ya that'll fly in court. Employers have rights too. Smh";;;;"914640285577117697";https://twitter.com/MatRiv9/status/914640285577117697
;2017-10-01 18:56;0;0;"【HAND_GUN】AM/HGB-203 旧名:SOPHORA BHG 16-2 通称:第二世代3連ハンド、ソフォラ pic.twitter.com/5DeXKiWi2a";;;;"914640277419073536";https://twitter.com/acvd_mizagi/status/914640277419073536
;2017-10-01 18:56;0;0;"comes to mind so I guess its either to where I keep the guns or my memorabilia room. It's your call unless a room is screaming in your >";;;;"914640272167927811";https://twitter.com/VengefulMutant/status/914640272167927811
;2017-10-01 18:56;0;0;"Will they fluff us with hours of NFL talk................. Cowards or Heroes Big decisions being made by the Big Guns this weekend........";;;;"914640254753284096";https://twitter.com/dazgood500/status/914640254753284096
;2017-10-01 18:56;0;0;"サバゲーが好きな人はフォローしてください！ # 相互フォローの輪 # 相互フォロー";;;# #;"914640242950291456";https://twitter.com/jag_my_guns/status/914640242950291456
;2017-10-01 18:56;0;0;"First things first gun license & my custom gun";;;;"914640241419530240";https://twitter.com/Only1mexicana/status/914640241419530240
;2017-10-01 18:56;0;8;"Your gun hurts people, my gun only hurts peoples feelings # LopezDesigns @ anestiwatausapic.twitter.com/ZwF1tlI9eU";;@;#;"914640224105275393";https://twitter.com/LopezDesigns_/status/914640224105275393
;2017-10-01 18:56;0;0;"these refs need to be fined/suspended for bogus calls..all damn day, different games..dont get me started about "GUNS"Hochuli";;;;"914640218174636032";https://twitter.com/p3pirate/status/914640218174636032
;2017-10-01 18:56;0;0;"I went and got my guns legally";;;;"914640209458991104";https://twitter.com/TeeKeefSosa/status/914640209458991104
;2017-10-01 18:56;0;1;"Hans made me do it she put practically put a gun to me head";;;;"914640202307657728";https://twitter.com/matthewsolis22/status/914640202307657728
;2017-10-01 18:56;0;0;"# DIAMOND SUNSET 朝から更新してくれると 今日1日頑張れる♡ 海外だから時差\( ˆoˆ )/ ありがとう♡♡pic.twitter.com/e2D9pQaqMs";;;#;"914640191440035840";https://twitter.com/RIO_3jsb_gun/status/914640191440035840
;2017-10-01 18:56;0;1;"Omg Dino Crisis! Not scary but amazing! Had the best gun ever!!! pic.twitter.com/ESzFWSpO1u";;;;"914640181025701888";https://twitter.com/AshBoio/status/914640181025701888
;2017-10-01 18:56;0;0;"I liked a @ YouTube video http://youtu.be/7OQtXJmav44?a Dual Wield Guns & Possible Class System In Sword Art Online: Fatal Bullet";;@;;"914640179545214978";https://twitter.com/TheAmariaShadow/status/914640179545214978
